key,total,weighted,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
I/3,1.8885355034801803,2.396065699838758,2.589302054349683,2.398759801266241,2.1499639393348775,2.3968117863420892,2.8646366819366884,2.4595721543838778,2.550607394908486,2.522844770125175,2.8379082840215086,2.3096421912109553,2.782974161512006
V7,1.7476358046021594,1.3517827671809433,0.810074988348352,1.2787703567964643,1.269731543325427,1.4934393059732602,1.5499886725364924,1.0771569139705244,1.6037123611164859,1.3644133567181265,1.4824544619127016,1.872480895036333,1.3322352383376355
III,1.322891617243641,1.274256245997581,0.7394744324215741,0.9595209202954871,1.1751553761698688,1.0553255335721583,1.7218501849378198,1.667871456477479,1.5577493929140198,0.9952502099580288,1.5875561062856902,0.8608244353181952,0.9717031767976312
V/7,1.1278322743524467,1.18321334965836,1.463703524561268,1.5026432320491647,1.2497915407328768,1.1709329745668586,0.8263400136639336,0.8365153763587542,0.916105005995534,1.1032190230507397,1.0987710905276213,0.9233510730416266,1.1877492154757745
IV(add9),1.1128114355831682,1.9733259176965035,1.0824464429454048,1.048378288533529,1.1359134651480731,1.4385431249242908,2.4586277401971075,3.2738322533793562,2.635920745012056,3.394289214008066,3.0879556850651704,1.822745153664252,1.7580601742061808
IM7,1.0045626679266306,0.933787007247816,0.6642369270832756,0.8977982907434945,0.8907989279128729,0.8506656646814328,0.9793650782956261,0.8255477378557714,0.7231519528339433,1.076515422008124,1.8190426178633872,1.6183598492525235,1.8747872821341087
Vsus4,0.9669047904487211,1.3786156987670841,0.6351322860598754,0.5654180108834581,0.5884672691593256,0.6544766999159428,0.610098864862389,0.9751411984234698,1.1446747550593057,2.138018363865796,2.4063316703473783,1.538222680225229,1.7748189494456972
II,0.7985021473452607,0.33156277776197984,0.47442993691759044,0.6290260823132092,0.47872927168907825,0.34525675456202864,0.31231397267529665,0.37576459288968256,0.2891113159266654,0.25388938178226816,0.21810547974646805,0.217240203671218,0.249607470181746
bVII,0.7825645437684675,0.6620889653503219,0.9318253709814021,0.7549968595098062,0.6563212202886722,0.510003652054545,0.5379999848341044,0.8933493135421166,0.977317828346438,0.4559977932210937,0.534019848763722,0.2794068959409247,0.41890996395492336
IIm7/5,0.7382072311587202,0.7132082864756928,0.49297185095790674,0.6760497243755548,0.3174083542993823,0.32079968676658893,0.38933659307474555,0.4007821309067846,0.32959199394967853,0.776833808394102,1.1799395018079142,1.2009969259917637,1.3319434161702715
I7,0.6527365429504313,0.9998972621447604,1.227103532547886,1.2985393111971952,1.1745703738906532,1.4638987896983857,1.2776506072705733,0.9771519643830362,1.0371559023028074,0.8745421181406579,1.6147610610379812,1.8369833553955772,1.2223076130900732
