[D7sus2],29
[Dm7-5],1528
[D7(-9)],52
[FM9],1388
[D7sus4],1192
[CM9],1263
[B/E],417
[A7/G],641
[B7sus2 ],2
[Bbm-5],6
[GM9],1327
[Am9],1665
[D7/C],604
[Bm7-5],2272
[CmM7],188
[G#dim7],425
[E7sus4],1179
[D9sus4],15
[Bm-5/E],1
[Dm7-5/A],1
[Adim7],382
[D#aug],415
[G7sus4(-9)],1
[G7(-9)],32
[Bdim7/E],3
[Csus4/G],93
[D6],1510
[Gsus2],257
[C#7sus4],650
[C/E],9541
[Bb(9)],107
[C(11)],35
[Eb/G],5572
[Ab(9)],86
[G(9)],33
[(↓)],2475
[BbM7(9)],804
[C#dim],1523
[C#m/G#],281
[A#dim],2304
[Edim/A],20
[Edim],1057
[Ab],37575
[GbM7(9)],507
[Ab/C],3841
[GbM7],4635
[Bbm],12054
[Ab(11)],2
[Bbadd9],3562
[Dbadd9],2055
[Gbadd9],896
[A(9)/C#],8
[Bbm7(9)],463
[Ebm7],6665
[AM7],10885
[Ebm7/Ab],884
[Ab/Eb],1030
[DbM7],7552
[F7],9236
[F7/A],921
[GbM7(9)/B],2
[Fm7/Ab],143
"[Bbm7(9,11)]",41
[GbM7/B],10
[Cm7-5],966
[Db/B],119
[Abm7],3332
[G7-5],77
[FM7],18098
[F/G],2483
[F/A],8229
[Fm/Ab],687
[A/B],2524
[B/D#],5331
[B#dim7],67
[CaugM7],17
[F#/A#],4187
[(Dm7)],133
[(DM7)],99
[Bsus4],4980
[Dbsus2],107
[Ebsus4],2117
[(Eb)],435
[Fb],195
[Gb],11378
[Gbsus2(13)],4
[Db/F],2272
[(単音)],223
[Cb],1912
[Gb5],111
[G5],960
[Ab5],279
[D ],32
[N.C],640
[G/F#],524
[D#dim],1940
[Em9],2509
[Em/B],633
[Gmaj7(9)],34
[F#7sus4],634
[Gmaj7],595
[G6sus4],42
[Em/A],384
[intro],212
[F/C],3172
[Bb/C],2536
[verse 1A],32
[verse 1B],30
[Dm11],190
[Dm9],2532
[G7sus4/D],38
[chorus 1],79
[G7sus4],940
[(/A)],641
[(/G)],490
[(/E)],504
[(/D)],552
[(/C)],510
[verse 2A],29
[C/F],432
[verse 2B],27
[chorus 2],74
[bridge],55
[Cm9],1176
[Am7/E],359
[chorus 3],38
[↓F/G],1
[(F/G)],3
[|E>-],1
[>-],264
[|],32759
[>E],11
[>F#m],11
[>D],21
[>C#sus4],1
[N.S.],16
[EM7],5893
[Ddim],1255
[C#m(add9)],78
