メルト／初音ミク,201201:11,201202:11,201203:12,201204:11,201205:10,201206:12,201207:15,201208:17,201209:11,201210:14,201211:16,201212:19,201301:19,201302:21,201303:25,201304:31,201305:44,201306:53,201307:52,201308:45,201309:67,201310:64,201311:30,201312:64,201401:46,201402:63,201403:60,201404:68,201405:78,201406:80,201407:82,201502:92,201504:74,201505:79,201506:92,201507:84,201508:72,201511:88,201601:85,201608:100,201706:100,201707:71,201708:70,201709:77,201711:72,201712:32,201801:14,201802:44,201803:90,201804:89,201805:61,201806:78,201807:78,201809:71,201810:68,201811:99,201812:26,201901:69,201902:44,201903:39,201904:92,201905:58,201906:37,201907:72,201908:52,201909:38,201910:43,201912:64,202001:47,202002:31,202003:25,202004:75,202005:64,202006:64,202007:57,202008:39,202009:54,202010:76,202011:50,202012:53,202101:52,202102:84,202103:82,202104:47,202105:30,202106:36,202107:92,202108:39,202109:45,202110:63,202111:48,202112:60,202201:60,202202:52,202203:30,202204:29,202205:39,202206:31,202207:53,202209:37,202210:81,202211:82
Staple+stable,201201:12,201202:30,201203:35,201204:43,201205:51,201206:46,201207:57,201208:58,201209:65,201210:77,201211:79,201212:82,201301:52,201302:74,201303:78,201304:86,201305:86,201306:92,201307:94,201308:67,201309:82,201310:74,201311:69,201312:71,201401:59,201402:80,201403:70,201404:64,201405:84,201406:67,201407:90,201408:88,201409:88,201410:73,201412:75,201501:70,201502:80,201505:91,201506:93,201508:89,201509:70,201510:80,201511:91,201512:83,201601:39,201602:43,201603:61,201604:61,201605:63,201606:92,201608:77,201701:88,201702:76,201705:76,201708:76
弱虫モンブラン,201201:13,201202:8,201203:9,201204:7,201205:8,201206:9,201207:8,201208:12,201209:10,201210:10,201211:10,201212:11,201301:11,201302:7,201303:14,201304:15,201305:13,201306:23,201307:27,201308:26,201309:23,201310:19,201311:19,201312:28,201401:18,201402:24,201403:20,201404:23,201405:21,201406:23,201407:28,201408:34,201409:35,201410:32,201411:32,201412:40,201501:60,201502:59,201503:70,201504:67,201505:51,201506:67,201507:74,201508:100,201509:97,201510:97,201511:81,201512:93,201601:84,201604:69,201606:80,201607:99,201612:85,201701:93,201707:91
ピエロ（ＫＥＩ）,201201:14,201202:12,201203:17,201204:13,201205:18,201206:23,201207:19,201208:24,201209:16,201210:11,201211:14,201212:14,201301:8,201302:8,201303:12,201304:13,201305:18,201306:24,201307:29,201308:17,201309:16,201310:12,201311:14,201312:13,201401:7,201402:10,201403:14,201404:16,201405:17,201406:13,201407:11,201408:15,201409:17,201410:15,201411:14,201412:19,201501:18,201502:22,201503:19,201504:25,201505:27,201506:28,201507:34,201508:35,201509:36,201510:43,201511:39,201512:45,201601:32,201602:29,201603:44,201604:22,201605:60,201606:54,201607:57,201608:51,201609:72,201610:55,201611:68,201612:63,201701:60,201702:64,201703:49,201704:71,201705:80,201706:80,201707:100,201708:72,201709:68,201710:81,201711:90,201712:75,201801:77,201802:100,201803:99,201804:97,201805:88,201806:89,201808:96,201901:94
チェリー,201201:15,201202:10,201203:11,201204:5,201205:5,201206:5,201207:9,201208:10,201209:7,201210:4,201211:2,201212:6,201301:1,201302:1,201303:1,201304:2,201305:2,201306:3,201307:6,201308:3,201309:4,201310:2,201311:4,201312:9,201401:6,201402:11,201403:11,201404:12,201405:11,201406:12,201407:15,201408:14,201409:15,201410:21,201411:15,201412:20,201501:16,201502:18,201503:16,201504:10,201505:11,201506:12,201507:17,201508:15,201509:17,201510:16,201511:18,201512:18,201601:14,201602:18,201603:11,201604:8,201605:8,201606:10,201607:15,201608:18,201609:15,201610:15,201611:21,201612:25,201701:26,201702:26,201703:24,201704:21,201705:25,201706:22,201707:27,201708:28,201709:26,201710:33,201711:39,201712:48,201801:49,201802:57,201803:41,201804:29,201805:30,201806:18,201807:39,201808:42,201809:45,201810:46,201811:58,201812:63,201901:46,201902:52,201903:44,201904:23,201905:26,201906:30,201907:43,201908:36,201909:77,201910:75,201911:53,201912:58,202001:67,202002:90,202003:48,202004:21,202005:14,202006:18,202007:22,202008:29,202009:32,202010:34,202011:31,202012:38,202101:44,202102:34,202103:27,202104:18,202105:20,202106:26,202107:25,202108:37,202109:15,202110:15,202111:19,202112:35,202201:19,202202:25,202203:18,202204:12,202205:14,202206:21,202207:15,202208:20,202209:25,202210:9,202211:20
Calc,201201:16,201202:19,201203:18,201204:21,201205:20,201206:35,201207:38,201208:28,201209:31,201210:36,201211:39,201212:41,201301:35,201302:33,201303:28,201304:43,201305:36,201306:36,201307:40,201308:32,201309:30,201310:38,201311:36,201312:36,201401:30,201402:30,201403:29,201404:36,201405:31,201406:36,201407:43,201408:48,201409:54,201410:53,201411:50,201412:61,201501:56,201502:60,201503:67,201504:50,201505:55,201506:56,201507:59,201508:81,201509:64,201510:67,201511:68,201512:82,201601:56,201602:59,201603:59,201604:36,201605:45,201606:33,201607:36,201608:39,201609:39,201610:42,201611:49,201612:65,201701:62,201702:55,201703:64,201704:53,201705:53,201706:70,201707:70,201709:38,201710:62,201711:81,201712:55,201801:55,201802:69,201803:94,201804:86,201805:55,201806:45,201807:86,201809:57,201810:82,201903:87,201904:61,201910:79,202003:62,202004:42,202006:83,202007:49,202008:79,202009:76,202010:83,202011:51,202012:65,202101:76,202102:44,202112:94,202201:89,202205:90,202206:69,202207:99,202208:95,202209:54,202210:48,202211:70
モザイクロール,201201:17,201202:15,201203:16,201204:14,201205:14,201206:17,201207:22,201208:20,201209:18,201210:24,201211:38,201212:40,201301:46,201302:39,201303:48,201304:64,201305:67,201306:78,201307:80,201308:82,201309:86,201310:87,201403:95,201404:67,201405:87,201406:90,201612:84,202110:20,202111:34
心拍数♯0822,201201:18,201202:18,201203:21,201204:20,201205:23,201206:27,201207:32,201208:35,201209:33,201210:29,201211:43,201212:43,201301:38,201302:46,201303:54,201304:44,201305:61,201306:63,201307:59,201308:55,201309:56,201310:51,201311:57,201312:49,201401:64,201402:75,201403:91,201404:91,201406:100,201408:77,201409:84,201410:80,201411:87,201412:85,201501:79,201503:83,201504:70,201505:62,201506:78,201507:92,201508:97,202201:80,202208:46
ponponpon,201201:19,201202:37,201203:89,201204:86,201205:90
花束,201201:20,201202:29,201203:28,201204:18,201205:16,201206:15,201207:21,201208:29,201209:26,201210:17,201211:9,201212:10,201301:14,201302:14,201303:15,201304:20,201305:19,201306:16,201307:16,201308:18,201309:11,201310:7,201311:10,201312:11,201401:10,201402:7,201403:8,201404:7,201405:8,201406:8,201407:16,201408:18,201409:16,201410:30,201411:36,201412:33,201501:23,201502:21,201503:32,201504:35,201505:34,201506:25,201507:35,201508:36,201509:37,201510:49,201511:38,201512:26,201601:35,201602:61,201603:83,201604:83,201605:85,201606:98,201701:65,201703:85
青いベンチ,201201:21,201202:25,201203:29,201204:36,201205:44,201206:49,201207:52,201208:50,201209:45,201210:47,201211:42,201212:44,201301:54,201302:54,201303:45,201304:24,201305:27,201306:32,201307:67,201308:58,201309:53,201310:50,201311:33,201312:70,201401:74,201402:59,201403:47,201404:37,201405:42,201406:65,201407:44,201408:56,201409:32,201410:39,201411:30,201412:72,201501:74,201502:57,201503:57,201504:47,201505:81,201506:66,201507:48,201510:85,201511:72
天使にふれたよ！,201201:22,201202:31,201203:70,201204:95,201205:92,201207:94,201208:74,201209:98,201210:84,201211:82,201212:64,201301:42,201302:75,201303:77,201312:99,202103:99
二息歩行,201201:23,201202:20,201203:26,201204:26,201205:27,201206:37,201207:35,201208:40,201209:30,201210:41,201211:54,201212:52,201301:40,201302:53,201303:61,201304:81,201305:76,201306:88,201307:98,201308:92,201309:41,201310:91,201311:61,201312:84,201401:76,201403:90,201404:98
Good-bye+days,201201:24,201202:70,201203:76,201204:71,201205:65,201206:65,201207:71,201208:48,201209:52,201210:71,201211:49,201212:22,201301:25,201302:47,201303:59,201304:73,201305:71,201306:91,201309:79,201310:77,201311:70,201312:75,201401:85,201402:99,201403:87,201404:82,201405:93,201505:100,201506:85,201510:57
メランコリック,201201:25,201202:33,201203:36,201204:37,201205:38,201206:41,201207:45,201208:44,201209:43,201210:50,201211:51,201212:61,201301:56,201302:63,201303:58,201304:37,201305:58,201306:73,201307:79,201308:86,201309:49,201310:78,201311:83,201312:90,201401:60,201402:60,201403:55,201404:73,201405:72,201406:86,201408:57,201409:75,201410:93,201411:83,201911:63,202001:57,202002:43,202003:66,202004:47,202005:74,202009:78,202103:73,202105:86
やさしさに包まれたなら,201201:26,201202:23,201203:23,201204:17,201205:19,201206:32,201207:40,201208:46,201209:32,201210:33,201211:34,201212:12,201301:27,201302:66,201303:66,201304:58,201305:68,201306:44,201307:41,201308:57,201309:48,201310:67,201311:65,201312:100,201404:97,201405:76,201406:75,201407:71,201408:82,201409:95,201504:99,201505:69,201601:57,201602:48,201611:82,201702:74,201703:92,201704:66,201705:55,201706:56,201710:51,201711:88,201804:55,201810:94,201901:51,201902:88,201905:56,201906:74,201907:69,202001:76,202003:96,202004:18,202005:26,202006:29,202007:37,202008:23,202009:45,202010:36,202011:55,202012:84,202101:45,202102:74,202103:54,202104:51,202105:53,202106:48,202107:33,202108:49,202109:42,202110:44,202111:91,202201:67,202202:31,202203:40,202204:38,202205:21,202206:41,202207:40,202208:37,202209:12,202210:13,202211:47
1925,201201:27,201202:24,201203:30,201204:31,201205:40,201206:59,201207:73,201208:60,201209:59,201210:68,201211:58,201212:79,201301:76,201302:81,201303:83,201304:87,201305:90,201306:79,201308:94,201311:99,201702:75,202005:88
ゆるふわ樹海ガール,201201:28,201202:22,201203:27,201204:24,201205:25,201206:29,201207:31,201208:31,201209:42,201210:38,201211:48,201212:46,201301:47,201302:48,201303:55,201304:62,201305:54,201306:51,201307:69,201308:68,201309:88,201310:89,201311:74,201312:72,201401:73,201402:66,201403:65,201404:70,201405:85,201406:68,201407:77,201408:69,201409:69,201501:90,201502:87,201503:91,201504:86,201603:89,201604:62
Dont+Say+lazy,201201:29,201202:34,201203:37,201204:34,201205:36,201206:44,201207:49,201208:47,201209:56,201210:70,201211:66,201212:68,201301:63,201302:77,201303:70,201304:72,201305:81,201312:77,201401:54,201402:78,201403:88,201404:94,201405:80,201406:92,201411:82,201502:96,201503:77,201504:84,201505:97,201509:79
トレモロ,201201:30,201202:26,201203:31,201204:29,201205:24,201206:24,201207:26,201208:26,201209:22,201210:18,201211:21,201212:34,201301:36,201302:24,201303:34,201304:30,201305:31,201306:29,201307:33,201308:31,201309:28,201310:21,201311:26,201312:22,201401:22,201402:22,201403:21,201404:22,201405:25,201406:25,201407:26,201408:29,201409:38,201410:37,201411:43,201412:44,201501:55,201502:69,201503:69,201504:78,201505:66,201506:64,201507:77,201508:83,201509:74,201511:100,201512:94,201606:64,201607:85,201608:86,201609:41,201610:41,201611:58,201612:59,201701:91,201702:85,201705:79,201708:97
Cagayake!GIRL,201201:31,201202:47,201203:67,201204:81,201205:81,201206:67,201207:65,201208:72,201209:86,201210:96,201211:85,201212:88,201301:83,201302:100,201303:91
栄光の架橋,201201:32,201202:27,201203:14,201204:35,201205:22,201206:25,201207:24,201208:25,201209:25,201210:12,201211:25,201212:25,201301:18,201302:15,201303:17,201304:34,201305:37,201306:48,201307:38,201308:42,201309:36,201310:28,201311:32,201312:34,201401:36,201402:28,201403:30,201404:85,201406:99,201408:91,201409:74,201410:74,201411:71,201412:95,201509:91,201510:93,201611:47,201703:80
ドレミファロンド,201201:33,201202:97
葛飾ラプソディ,201201:34,201202:17,201203:33,201204:38,201205:50,201206:47,201207:54,201208:41,201209:38,201210:30,201211:28,201212:67,201301:60,201302:40,201303:46,201304:59,201305:59,201306:45,201307:43,201308:28,201309:39,201310:59,201311:48,201312:56,201401:38,201402:32,201403:19,201404:25,201405:24,201406:30,201407:38,201408:43,201409:37,201410:42,201411:39,201412:48,201501:39,201502:37,201503:43,201504:40,201505:46,201506:46,201507:54,201508:52,201509:52,201510:38,201511:40,201512:49,201601:61,201602:66,201603:51,201604:46,201605:44,201606:37,201607:22,201608:24,201609:8,201610:18,201611:23,201612:34,201701:24,201702:35,201703:28,201704:25,201705:19,201706:25,201707:39,201708:38,201709:43,201710:46,201711:50,201712:58,201801:63,201802:38,201803:23,201804:25,201805:34,201806:42,201807:40,201808:49,201809:78,201810:22,201811:29,201812:75,201901:67,201902:20,201903:23,201904:35,201905:43,201906:43,201907:47,201908:27,201909:16,201910:18,201911:22,201912:23,202001:37,202002:21,202003:18,202004:22,202005:24,202006:26,202007:19,202008:18,202009:25,202010:18,202011:23,202012:32,202101:56,202102:30,202103:33,202104:37,202105:37,202106:20,202107:24,202108:25,202109:37,202110:27,202111:23,202112:70,202201:30,202202:16,202203:35,202204:16,202205:25,202206:97,202207:16,202208:10,202209:33,202210:64,202211:45
U＆I,201201:35,201202:38,201203:41,201204:57,201205:63,201206:79,201207:68,201208:59,201209:66,201210:67,201211:68,201212:57,201301:44,201302:57,201303:68,201304:90,201305:94,201306:86,201411:78,201412:74,201504:61,201704:75
ずっと好きだった,201201:36,201202:44,201203:50,201204:54,201205:57,201206:75,201207:77,201208:78,201209:75,201210:86,201211:88,201212:84,201301:53,201302:72,201303:57,201304:77,201305:65,201306:84,201307:82,201308:23,201309:54,201310:43,201311:39,201312:86,201402:52
車輪の唄,201201:37,201202:32,201203:32,201204:12,201205:11,201206:30,201207:27,201208:32,201209:28,201210:31,201211:41,201212:38,201301:48,201302:41,201303:43,201304:41,201305:43,201306:50,201307:44,201308:50,201309:51,201310:47,201311:37,201312:35,201401:24,201402:20,201403:22,201404:28,201407:83,201408:87,201409:62,201410:71,201411:86,201412:79,201501:95,201502:93,201503:75,201504:57,201505:61,201506:45,201507:46,201508:46,201509:65,201510:73,201511:63,201512:78,201601:82,201602:34,201603:49,201604:70,201605:32,201606:36,201607:48,201608:49,201609:55,201610:53,201611:61,201612:66,201701:64,201702:92,201703:67,201704:62,201705:73,201706:63,201707:60,201709:74,201710:69,201803:91,201804:79,201805:81,201806:74,201809:100,201810:58,201907:89,201909:80,201910:58,202004:86,202005:71,202006:55,202007:83,202008:94,202009:72,202102:63,202103:62,202104:82,202105:63,202106:91,202211:100
コネクト,201201:38,201202:57,201203:56,201204:46,201205:47,201206:56,201207:64,201208:69,201209:84,201210:27,201211:36,201212:80,201301:85,201302:95,201307:56,201311:9,201312:26,201401:23,201402:33,201403:62,201404:45,201405:55,201406:69,201407:75,201408:90,201409:83,201410:81,201411:81,201412:97,201501:36,201502:82,201503:97,201504:59,201505:90,201508:78,201509:66,201512:67,201602:96,201605:88,201611:98,201702:98,201705:94,201710:82,201811:47,201812:29,201910:100,202003:50,202004:81,202005:73,202010:78,202011:63,202105:89,202206:2,202207:6,202208:33,202210:71
恋愛サーキュレーション,201201:39,201202:43,201203:52,201204:79,201205:88,201206:84,201207:81,201208:85,201209:96,201303:92,201304:94,201307:65,201308:88,201403:86,201404:69,201501:61,201502:77,201503:96,201505:63,201506:90,201511:92,201512:95,201601:93,201602:76,201603:75,201605:90,201606:73,201607:88,201608:83,201609:87,201701:97,201702:62,201703:75,201704:87,201812:59,201903:70,201904:73,201905:95,201906:45,201907:83,202001:69,202002:88,202003:70,202004:35,202005:28,202006:68,202007:34,202008:34,202009:51,202011:48,202012:88,202101:85,202102:65,202103:61,202104:79,202105:44,202106:39,202107:61,202108:81,202109:85,202110:18,202111:62,202112:78,202201:65,202202:26,202203:25,202207:77,202211:80
from+Y+to+Y,201201:40,201202:55,201203:63,201204:52,201205:54,201206:68,201207:82,201208:65,201209:61,201210:76,201211:74,201212:90,201301:92,201302:91,201303:89,201304:83,201305:91,201306:90,201307:89,201308:89,201309:95,201310:90,201311:92,201312:58,201401:70,201402:81,201403:59,201404:63,201405:58,201406:51,201407:49,201408:68,201409:77,201410:56,201411:66,201412:84,201503:73,201504:94,201512:98,201602:30,201605:69,201701:84,201709:90,201909:70,202007:76,202012:71,202104:58,202105:81
ハッピーシンセサイザ,201201:41,201202:60,201203:57,201204:69,201205:60,201304:76
マトリョシカ,201201:42,201202:54,201203:47,201204:41,201205:55,201206:82,201207:86,201208:87,201209:91,201304:97
Just+Be+Friends+【2】,201201:43,201202:61,201203:72,201204:72,201205:84,201206:74,201207:76,201208:73,201209:68,201210:80,201211:89,201212:95,201301:99,201302:86,201303:96
Dear,201201:44,201202:56,201203:58,201204:64,201205:46,201206:76,201207:79,201208:52,201209:48,201210:53,201211:62,201212:59,201301:77,201302:80,201303:94,201310:99,201501:100
一番の宝物,201201:45,201202:46,201203:42,201204:45,201205:45,201206:48,201207:56,201208:55,201209:50,201210:59,201211:71,201212:70,201301:65,201302:58,201303:56,201304:66,201305:66,201306:66,201307:91,201308:91,201309:77,201310:54,201311:76,201312:68,201401:63,201402:45,201403:41,201404:55,201405:44,201406:46,201407:53,201408:80,201409:73,201410:69,201411:47,201412:39,201501:63,201502:84,201503:84,201506:83,201507:76,201508:96,201509:99,201607:87,201706:99
小さな恋の歌,201201:46,201202:51,201203:55,201204:56,201205:49,201206:36,201207:53,201208:61,201209:60,201210:51,201211:47,201212:51,201301:30,201302:9,201303:19,201304:11,201305:16,201306:15,201307:28,201308:46,201309:37,201310:30,201311:40,201312:38,201401:43,201402:39,201403:43,201404:46,201405:46,201406:77,201407:69,201408:78,201409:63,201410:67,201411:61,201412:56,201501:58,201502:75,201503:78,201504:60,201505:83,201507:67,201508:60,201509:53,201510:56,201511:77,201512:73,201605:62,201606:76,201609:69,201701:71,201702:67,201703:86,201704:77,201705:86,201706:86,201804:47,201805:40,201806:86,201807:76,201808:86,201906:81,201907:78
ローリンガール,201201:47,201202:42,201203:66,201204:60,201205:56,201206:78,201207:60,201208:62,201209:90,201210:94,201211:94,201301:71,201302:97,201304:63,201904:11,202003:89
ガーネット,201201:48,201202:36,201203:38,201204:32,201205:28,201206:38,201207:12,201208:14,201209:12,201210:15,201211:22,201212:31,201301:39,201302:36,201303:50,201304:42,201305:39,201306:20,201307:22,201308:30,201309:34,201310:29,201311:44,201312:40,201401:41,201402:53,201403:69,201404:77,201405:81,201406:62,201407:57,201408:75,201409:86,201410:91,201411:69,201504:73,201506:76,201507:4,201508:14,201509:39,201510:91,201602:65,201607:54,201707:98,201807:47,202006:67,202007:45,202008:56,202011:70,202106:62,202107:45,202108:34,202206:91,202207:8,202208:16,202209:27
東京テディベア,201201:49,201202:39,201203:40,201204:30,201205:26,201206:42,201207:59,201208:75,201209:57,201210:57,201211:72,201212:76,201301:61,201302:73,201303:47,201304:53,201305:56,201306:67,201307:73,201308:61,201309:81,201310:61,201311:77,201312:79,201401:77,201402:58,201403:80,201404:76,201405:79,201406:88,201407:84,201408:71,201409:80,201410:82,201411:97,201503:95,201510:100
